,text,created_at,news_org,sentiment,positive,negative,neutral,compound,tweets_ago
0,Mexico election: Five things you need to know https://t.co/tHoFD8njt1,Sat Jun 30 23:48:09 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,1
1,"Good week, bad week: The people in the news https://t.co/xSqe0vwXlo",Sat Jun 30 23:45:55 +0000 2018,@BBCWorld,"{'neg': 0.243, 'neu': 0.556, 'pos': 0.201, 'compound': -0.1531}",0.201,0.243,0.556,-0.1531,2
2,A US civility crisis: Total political war https://t.co/h1lotdhPHn,Sat Jun 30 23:27:53 +0000 2018,@BBCWorld,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.8402}",0.0,0.615,0.385,-0.8402,3
3,Why female suicide in Afghanistan is so high https://t.co/s7oJdrI5ZL,Sat Jun 30 23:18:10 +0000 2018,@BBCWorld,"{'neg': 0.36, 'neu': 0.64, 'pos': 0.0, 'compound': -0.6705}",0.0,0.36,0.64,-0.6705,4
4,Trump urges Saudis to raise oil output 'by two million barrels' https://t.co/QCC6WDG1Nd,Sat Jun 30 22:42:38 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,5
5,"RT @BBCSport: GOAL!

Edinson Cavani nods Uruguay in front!

#URU 1-0 #POR

Live: https://t.co/FvFOt1iOgl

#URUPOR #WorldCup https://t.co/Z2…",Sat Jun 30 18:20:43 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,6
6,Mary McAleese and her son march in Dublin Pride parade https://t.co/CrYxnfkAFa,Sat Jun 30 17:54:37 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.806, 'pos': 0.194, 'compound': 0.34}",0.194,0.0,0.806,0.34,7
7,Billie razors: 'First razor ad with hairy women' wins praise online https://t.co/uZpOeg507H,Sat Jun 30 17:49:46 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.578, 'pos': 0.422, 'compound': 0.8074}",0.422,0.0,0.578,0.8074,8
8,Unesco announces new heritage sites around the world https://t.co/8UoJausebb,Sat Jun 30 17:15:11 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,9
9,"RT @BBCSport: ... Argentina are OUT!

FT: #FRA 4-3 #ARG 

Reaction: https://t.co/20OI7OkLoy 

#FRAARG #WorldCup https://t.co/VfNDMc0sys",Sat Jun 30 15:53:40 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,10
10,"RT @BBCSport: GOAL!

Aguero gives Argentina hope with a header!

#FRA 4-3 #ARG 

Live: https://t.co/20OI7OkLoy 

#FRAARG #WorldCup https://…",Sat Jun 30 15:51:58 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.5399}",0.179,0.0,0.821,0.5399,11
11,"RT @BBCSport: GOAL!

Mbappe again!

He drills in his second and France's fourth! 

#FRA 4-2 #ARG 

Live: https://t.co/20OI7OkLoy 

#FRAARG…",Sat Jun 30 15:28:43 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,12
12,"RT @BBCSport: GOAL!

And another! Now France are back in front! 

Kylian Mbappe's shot squeezes in!

#FRA 3-2 #ARG 

Live: https://t.co/20O…",Sat Jun 30 15:28:29 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,13
13,"RT @BBCSport: GOAL!

Technique on that! 

Pavard fires in his first France goal in style!

#FRA 2-2 #ARG 

Live: https://t.co/20OI7OkLoy…",Sat Jun 30 15:16:44 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,14
14,"RT @BBCSport: GOAL!

There's been a turnaround!

Messi's shot deflects in off Mercado!

#FRA 1-2 #ARG 

Live: https://t.co/20OI7OkLoy 

#FR…",Sat Jun 30 15:13:44 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,15
15,"RT @BBCSport: GOAL!

What a screamer from Angel Di Maria - he's fired one in from way out!

#FRA 1-1 #ARG 

Live: https://t.co/20OI7OkLoy…",Sat Jun 30 14:44:20 +0000 2018,@BBCWorld,"{'neg': 0.173, 'neu': 0.827, 'pos': 0.0, 'compound': -0.6351}",0.0,0.173,0.827,-0.6351,16
16,Black US senators introduce anti-lynching bill https://t.co/ewKzAnF7vS,Sat Jun 30 14:35:45 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,17
17,"RT @BBCSport: GOAL!

Antoine Griezmann slots his penalty right down the middle!

#FRA 1-0 #ARG 

Live: https://t.co/MoPYpFZha8 

#FRAARG #W…",Sat Jun 30 14:14:40 +0000 2018,@BBCWorld,"{'neg': 0.166, 'neu': 0.834, 'pos': 0.0, 'compound': -0.555}",0.0,0.166,0.834,-0.555,18
18,Belgian boy Laurent Simons heads off to university aged 8 https://t.co/mu8odfEKXL,Sat Jun 30 12:49:05 +0000 2018,@BBCWorld,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0.0,0.0,1.0,0.0,19
19,Migrant crisis: Italy minister Salvini closes ports to NGO boats https://t.co/jFIpc8JcMj,Sat Jun 30 12:04:21 +0000 2018,@BBCWorld,"{'neg': 0.291, 'neu': 0.709, 'pos': 0.0, 'compound': -0.6249}",0.0,0.291,0.709,-0.6249,20
